"","location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"54","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","5.3","5.4",0.012409395
"55","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","5.4","5.5",0.013045114
"56","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","5.5","5.6",0.01367739
"57","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","5.6","5.7",0.014302655
"58","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","5.7","5.8",0.01491723
"59","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","5.8","5.9",0.015517358
"60","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","5.9","6",0.016099244
"61","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","6","6.1",0.016659089
"62","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","6.1","6.2",0.017193137
"63","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","6.2","6.3",0.01769771
"64","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","6.3","6.4",0.018169254
"65","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","6.4","6.5",0.01860438
"66","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","6.5","6.6",0.018999904
"67","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","6.6","6.7",0.019352884
"68","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","6.7","6.8",0.019660658
"69","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","6.8","6.9",0.019920879
"70","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","6.9","7",0.020131542
"71","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","7","7.1",0.020291009
"72","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","7.1","7.2",0.020398036
"73","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","7.2","7.3",0.020451781
"74","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","7.3","7.4",0.020451822
"75","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","7.4","7.5",0.020398159
"76","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","7.5","7.6",0.020291213
"77","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","7.6","7.7",0.020131824
"78","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","7.7","7.8",0.019921239
"79","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","7.8","7.9",0.019661092
"80","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","7.9","8",0.019353388
"81","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","8","8.1",0.019000476
"82","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","8.1","8.2",0.018605015
"83","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","8.2","8.3",0.018169947
"84","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","8.3","8.4",0.017698455
"85","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","8.4","8.5",0.01719393
"86","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","8.5","8.6",0.016659925
"87","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","8.6","8.7",0.016100116
"88","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","8.7","8.8",0.015518261
"89","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","8.8","8.9",0.014918158
"90","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","8.9","9",0.014303602
"91","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","9","9.1",0.01367835
"92","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","9.1","9.2",0.013046082
"93","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","9.2","9.3",0.012410366
"94","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","9.3","9.4",0.011774627
"95","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","9.4","9.5",0.011142119
"96","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","9.5","9.6",0.010515901
"97","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","9.6","9.7",0.009898817
"98","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","9.7","9.8",0.009293477
"99","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","9.8","9.9",0.008702243
"100","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","9.9","10",0.008127224
"101","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","10","10.1",0.00757027
"102","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","10.1","10.2",0.007032968
"103","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","10.2","10.3",0.006516643
"104","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","10.3","10.4",0.006022369
"105","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","10.4","10.5",0.005550969
"106","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","10.5","10.6",0.005103033
"107","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","10.6","10.7",0.004678925
"108","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","10.7","10.8",0.004278798
"109","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","10.8","10.9",0.003902614
"110","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","10.9","11",0.003550157
"111","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","11","11.1",0.00322105
"112","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","11.1","11.2",0.002914779
"113","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","11.2","11.3",0.002630702
"114","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","11.3","11.4",0.002368078
"115","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","11.4","11.5",0.002126074
"116","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","11.5","11.6",0.001903788
"117","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","11.6","11.7",0.001700267
"118","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","11.7","11.8",0.001514516
"119","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","11.8","11.9",0.001345515
"120","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","11.9","12",0.001192233
"121","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","12","12.1",0.001053639
"122","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","12.1","12.2",0.000928712
"123","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","12.2","12.3",0.000816447
"124","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","12.3","12.4",0.000715868
"125","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","12.4","12.5",0.000626031
"126","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","12.5","12.6",0.000546031
"127","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","12.6","12.7",0.000475003
"128","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","12.7","12.8",0.00041213
"129","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","12.8","12.9",0.00035664
"130","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","12.9","13",0.00030781
"131","28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","13","100",0.001733066
"132","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","0","0.1",0.000391964
"133","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","0.1","0.2",0.000443019
"134","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","0.2","0.3",0.000499727
"135","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","0.3","0.4",0.000562569
"136","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","0.4","0.5",0.000632053
"137","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","0.5","0.6",0.000708704
"138","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","0.6","0.7",0.000793066
"139","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","0.7","0.8",0.000885703
"140","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","0.8","0.9",0.000987189
"141","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","0.9","1",0.001098111
"142","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","1","1.1",0.001219062
"143","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","1.1","1.2",0.001350638
"144","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","1.2","1.3",0.001493434
"145","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","1.3","1.4",0.001648036
"146","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","1.4","1.5",0.001815019
"147","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","1.5","1.6",0.001994937
"148","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","1.6","1.7",0.002188321
"149","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","1.7","1.8",0.002395667
"150","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","1.8","1.9",0.002617434
"151","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","1.9","2",0.002854031
"152","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","2","2.1",0.003105813
"153","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","2.1","2.2",0.003373071
"154","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","2.2","2.3",0.003656028
"155","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","2.3","2.4",0.003954825
"156","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","2.4","2.5",0.004269516
"157","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","2.5","2.6",0.004600063
"158","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","2.6","2.7",0.004946325
"159","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","2.7","2.8",0.005308052
"160","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","2.8","2.9",0.005684881
"161","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","2.9","3",0.006076329
"162","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","3","3.1",0.006481789
"163","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","3.1","3.2",0.006900526
"164","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","3.2","3.3",0.007331675
"165","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","3.3","3.4",0.00777424
"166","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","3.4","3.5",0.008227092
"167","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","3.5","3.6",0.008688974
"168","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","3.6","3.7",0.009158499
"169","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","3.7","3.8",0.00963416
"170","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","3.8","3.9",0.010114329
"171","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","3.9","4",0.01059727
"172","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","4","4.1",0.011081145
"173","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","4.1","4.2",0.011564023
"174","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","4.2","4.3",0.012043896
"175","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","4.3","4.4",0.012518685
"176","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","4.4","4.5",0.012986262
"177","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","4.5","4.6",0.013444457
"178","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","4.6","4.7",0.013891083
"179","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","4.7","4.8",0.014323945
"180","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","4.8","4.9",0.014740862
"181","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","4.9","5",0.015139684
"182","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","5","5.1",0.015518311
"183","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","5.1","5.2",0.01587471
"184","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","5.2","5.3",0.016206933
"185","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","5.3","5.4",0.016513136
"186","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","5.4","5.5",0.016791597
"187","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","5.5","5.6",0.017040728
"188","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","5.6","5.7",0.017259094
"189","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","5.7","5.8",0.017445424
"190","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","5.8","5.9",0.017598627
"191","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","5.9","6",0.017717797
"192","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","6","6.1",0.017802228
"193","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","6.1","6.2",0.017851418
"194","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","6.2","6.3",0.017865071
"195","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","6.3","6.4",0.017843108
"196","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","6.4","6.5",0.017785659
"197","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","6.5","6.6",0.017693066
"198","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","6.6","6.7",0.017565882
"199","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","6.7","6.8",0.017404859
"200","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","6.8","6.9",0.017210947
"201","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","6.9","7",0.01698528
"202","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","7","7.1",0.016729169
"203","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","7.1","7.2",0.016444085
"204","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","7.2","7.3",0.01613165
"205","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","7.3","7.4",0.015793615
"206","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","7.4","7.5",0.01543185
"207","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","7.5","7.6",0.015048325
"208","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","7.6","7.7",0.014645089
"209","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","7.7","7.8",0.014224256
"210","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","7.8","7.9",0.013787986
"211","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","7.9","8",0.013338463
"212","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","8","8.1",0.012877883
"213","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","8.1","8.2",0.01240843
"214","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","8.2","8.3",0.011932265
"215","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","8.3","8.4",0.011451507
"216","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","8.4","8.5",0.010968219
"217","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","8.5","8.6",0.010484393
"218","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","8.6","8.7",0.010001938
"219","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","8.7","8.8",0.00952267
"220","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","8.8","8.9",0.0090483
"221","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","8.9","9",0.008580428
"222","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","9","9.1",0.008120535
"223","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","9.1","9.2",0.007669976
"224","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","9.2","9.3",0.00722998
"225","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","9.3","9.4",0.006801643
"226","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","9.4","9.5",0.006385933
"227","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","9.5","9.6",0.005983682
"228","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","9.6","9.7",0.005595597
"229","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","9.7","9.8",0.005222254
"230","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","9.8","9.9",0.004864108
"231","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","9.9","10",0.004521497
"232","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","10","10.1",0.004194642
"233","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","10.1","10.2",0.003883661
"234","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","10.2","10.3",0.00358857
"235","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","10.3","10.4",0.003309293
"236","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","10.4","10.5",0.003045669
"237","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","10.5","10.6",0.00279746
"238","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","10.6","10.7",0.002564358
"239","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","10.7","10.8",0.002345996
"240","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","10.8","10.9",0.002141951
"241","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","10.9","11",0.001951756
"242","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","11","11.1",0.001774906
"243","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","11.1","11.2",0.001610863
"244","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","11.2","11.3",0.001459069
"245","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","11.3","11.4",0.001318945
"246","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","11.4","11.5",0.001189902
"247","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","11.5","11.6",0.001071345
"248","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","11.6","11.7",0.000962678
"249","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","11.7","11.8",0.00086331
"250","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","11.8","11.9",0.000772656
"251","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","11.9","12",0.000690143
"252","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","12","12.1",0.000615213
"253","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","12.1","12.2",0.000547326
"254","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","12.2","12.3",0.00048596
"255","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","12.3","12.4",0.000430614
"256","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","12.4","12.5",0.000380811
"257","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","12.5","12.6",0.000336097
"258","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","12.6","12.7",0.000296042
"259","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","12.7","12.8",0.000260241
"260","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","12.8","12.9",0.000228314
"261","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","12.9","13",0.000199904
"262","28th MED GRP-ELLSWORTH AFB","2 wk ahead","Bin","percent","13","100",0.001266526
"263","28th MED GRP-ELLSWORTH AFB","3 wk ahead","Bin","percent","0","0.1",0.00034241
"264","28th MED GRP-ELLSWORTH AFB","3 wk ahead","Bin","percent","0.1","0.2",0.000385891
"265","28th MED GRP-ELLSWORTH AFB","3 wk ahead","Bin","percent","0.2","0.3",0.000434088
"266","28th MED GRP-ELLSWORTH AFB","3 wk ahead","Bin","percent","0.3","0.4",0.000487401
"267","28th MED GRP-ELLSWORTH AFB","3 wk ahead","Bin","percent","0.4","0.5",0.000546249
"268","28th MED GRP-ELLSWORTH AFB","3 wk ahead","Bin","percent","0.5","0.6",0.000611069
"269","28th MED GRP-ELLSWORTH AFB","3 wk ahead","Bin","percent","0.6","0.7",0.000682316
"270","28th MED GRP-ELLSWORTH AFB","3 wk ahead","Bin","percent","0.7","0.8",0.00076046
